Day,Forecasted_Price,Date_Offset
1,2031.5707963991163,Day +1
2,2025.798914401531,Day +2
3,2021.5936395478245,Day +3
4,2017.1517338216302,Day +4
5,2012.8910749638078,Day +5
6,2008.5756836783883,Day +6
7,2004.2504101490972,Day +7
8,1999.899833731651,Day +8
9,1995.5481713533397,Day +9
10,1991.2046536815162,Day +10
11,1986.8789457678793,Day +11
12,1982.5760430324074,Day +12
13,1978.2994205498692,Day +13
14,1974.0514674341675,Day +14
15,1969.834464203119,Day +15
16,1965.649171029329,Day +16
17,1961.4962394893166,Day +17
18,1957.3759953713413,Day +18
19,1953.2878956949708,Day +19
20,1949.2325920367239,Day +20
21,1945.209541416168,Day +21
22,1941.2183094489571,Day +22
23,1937.2592219233509,Day +23
24,1933.331084282398,Day +24
25,1929.434330910444,Day +25
26,1925.5683102309702,Day +26
27,1921.7328050518033,Day +27
28,1917.9273809885976,Day +28
29,1914.15182084918,Day +29
30,1910.4052558648584,Day +30
